Id,TimeToEnd,DistanceToRadar,Composite,HybridScan,HydrometeorType,Kdp,RR1,RR2,RR3,RadarQualityIndex,Reflectivity,ReflectivityQC,RhoHV,Velocity,Zdr,LogWaterVolume,MassWeightedMean,MassWeightedSD,Expected
193,58.0 54.0 49.0 45.0 41.0 36.0 32.0 23.0,35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0,20.5 38.5 31.5 29.5 31.5 23.5 23.5 11.5,29.0 24.0 22.0 25.5 27.5 20.5 10.5 -99900.0,9.0 9.0 9.0 9.0 9.0 9.0 9.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.382607 4.20682 1.58025 1.74213 3.55643 0.852054 0.422671 0.0,0.426752 3.54379 2.18823 1.65141 3.39646 0.913238 0.41836 -99900.0,-5.99102 16.1269 7.41648 5.11845 19.4924 -10.0193 -6.27537 -99900.0,0.401317 0.977081 0.970793 0.987217 0.935993 0.954353 1.0 999.0,20.5 38.5 31.5 29.5 31.5 22.5 23.5 12.0,20.5 38.5 31.5 29.5 31.5 22.5 23.5 -99900.0,1.01167 0.988333 0.995 0.985 0.975 0.985 0.978333 1.05167,8.5 10.0 10.0 12.5 10.5 13.0 11.0 -99900.0,-0.6875 1.9375 0.6875 0.9375 1.0 -1.3125 1.4375 0.5,-10.8334897843 -8.668451536 -9.35803654924 -9.91073203393 -9.56664610698 -9.96560421533 -11.7176379529 nan,1.36581343175 2.38743298882 1.84342846696 1.909513909 1.95894684294 1.19892201644 2.11516125294 nan,0.519815556307 0.94493908566 0.714769747447 0.729431913411 0.75822318998 0.468903666375 0.848482874663 nan,0.5
194,53.0 43.0 34.0 24.0 14.0 5.0,83.0 83.0 83.0 83.0 83.0 83.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,999.0 999.0 999.0 999.0 999.0 999.0,4.5 14.0 12.0 -11.0 -6.5 5.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.961667 0.955 0.638333 1.05167 0.721667 0.925,-7.0 -7.0 -7.0 -8.0 -4.0 -6.5,-0.4375 -0.8125 2.5625 4.0 5.0625 3.375,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
195,41.0 32.0 14.0 5.0,47.0 47.0 47.0 47.0,-99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0,0.139436 999.0 0.554029 0.451842,8.5 8.0 11.5 14.0,-99900.0 -99900.0 -99900.0 -99900.0,1.05167 0.968333 1.03833 0.935,-99901.0 -99900.0 -99901.0 -99901.0,5.0 0.4375 3.25 2.9375,nan nan nan nan,nan nan nan nan,nan nan nan nan,0.0
196,53.0 44.0 34.0 24.0 14.0,87.0 87.0 87.0 87.0 87.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0440548 0.0253013 0.111221 0.0603098 0.0479728,0.0 -0.5 8.5 3.5 1.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.515 0.501667 0.935 0.731667 0.598333,6.0 -1.5 -2.0 -3.5 4.0,0.5 0.9375 6.9375 4.25 1.125,nan nan nan nan nan,nan nan nan nan nan,nan nan nan nan nan,0.0
197,59.0 49.0 39.0 20.0,56.0 56.0 56.0 56.0,-1.0 -99900.0 5.5 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0,8.0 6.0 6.0 7.0,0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0,0.709273 0.0908653 0.841657 0.346642,-1.0 -1.0 5.5 1.0,-1.0 -99900.0 5.5 -99900.0,0.815 0.781667 0.895 0.985,-18.0 -15.5 -14.5 -99900.0,-1.75 4.125 1.8125 0.125,nan nan nan nan,nan nan nan nan,nan nan nan nan,0.0
198,59.0 53.0 48.0 43.0 38.0 32.0 28.0 23.0 18.0 13.0 8.0 3.0,46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,-7.0 13.0 7.0 4.0 9.0 13.5 6.5 -3.5 12.0 -0.5 14.0 4.0,-99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0,0.698333 0.435 0.761667 0.581667 0.788333 0.785 0.785 0.788333 0.821667 0.698333 0.371667 0.908333,1.0 13.5 1.0 -7.5 14.5 10.0 9.5 6.0 -10.0 -1.5 -9.0 10.5,0.1875 7.9375 -5.4375 5.5625 4.0625 -2.8125 -0.4375 -7.875 0.125 -0.4375 4.8125 0.5,nan nan nan nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan nan nan nan,0.0
199,58.0 39.0 29.0 19.0 9.0,49.0 49.0 49.0 49.0 49.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,999.0 999.0 999.0 999.0 0.0,-9.0 -7.5 -12.5 -8.0 -14.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.788333 0.905 0.775 0.741667 0.965,4.0 9.0 6.5 6.0 7.5,7.9375 3.75 2.875 -1.3125 2.375,nan nan nan nan nan,nan nan nan nan nan,nan nan nan nan nan,0.0
200,60.0,87.0,-99900.0,-99900.0,9.0,0.0,0.0,-99900.0,-99900.0,999.0,22.0,-99900.0,-99903.0,-99903.0,-99903.0,nan,nan,nan,0.0
201,4.0 51.0,60.0 66.0,-99900.0 -99900.0,-99900.0 -99900.0,8.0 8.0,0.0 0.0,0.0 0.0,-99900.0 -99900.0,-99900.0 -99900.0,999.0 999.0,8.5 3.0,-99900.0 -99900.0,-99900.0 0.911667,-99901.0 -99900.0,-99900.0 -3.0625,nan nan,nan nan,nan nan,0.0
202,57.0 47.0 38.0 28.0 19.0,29.0 29.0 29.0 29.0 29.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,999.0 999.0 999.0 999.0 999.0,9.0 10.5 5.5 7.5 4.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.755 0.925 0.758333 1.01833 0.998333,-11.5 -3.0 -99900.0 -99900.0 -99900.0,-1.875 2.9375 -0.5625 0.0 0.0,nan nan nan nan nan,nan nan nan nan nan,nan nan nan nan nan,0.0
203,58.0 46.0 40.0 34.0 29.0 23.0 57.0 52.0 48.0 43.0 39.0 35.0 27.0 24.0 20.0 16.0 12.0 9.0 5.0 60.0 55.0 51.0 44.0 39.0 34.0 30.0 25.0,87.0 87.0 87.0 87.0 87.0 87.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0,20.0 14.0 20.0 31.0 24.5 21.5 31.0 27.0 26.0 27.0 26.5 19.5 30.5 29.5 22.0 16.5 15.5 4.5 2.0 24.5 15.5 10.5 11.5 24.0 18.5 18.0 10.0,29.5 -99900.0 23.5 24.0 30.0 23.5 31.0 28.5 17.0 15.5 3.5 -99900.0 30.0 22.0 20.0 18.0 9.5 8.5 -99900.0 23.5 9.5 9.5 21.5 18.5 25.0 16.5 11.0,9.0 9.0 9.0 9.0 9.0 9.0 1.0 1.0 1.0 1.0 1.0 7.0 1.0 1.0 1.0 1.0 1.0 1.0 7.0 9.0 9.0 8.0 9.0 9.0 9.0 9.0 9.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 1.30063 1.66791 1.11526 0.20907 0.0 0.0 0.521017 1.01245 0.191864 0.0 0.0 0.0 0.0 0.6458 0.0 0.0 0.0 0.781461 0.481651 0.385599 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 1.30063 1.66791 1.11526 0.20907 -99900.0 -99900.0 0.521017 1.01245 0.191864 -99900.0 -99900.0 -99900.0 -99900.0 0.813835 -99900.0 -99900.0 -99900.0 0.840846 0.549125 0.552485 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 0.16356 -4.07805 4.9957 5.95918 -99900.0 -99900.0 -1.21842 -7.12916 4.16426e-05 -99900.0 -99900.0 -99900.0 -99900.0 2.27694 -99900.0 -99900.0 -99900.0 -2.87226 0.878065 6.59951 -99900.0,0.94298 0.881926 0.881769 0.966333 0.966234 0.0225114 1.0 0.982626 0.977972 0.978327 1.0 0.981096 1.0 1.0 0.893981 0.76149 0.898576 0.90123 0.335372 0.949998 0.523179 0.88767 0.493516 0.980727 0.856338 0.888269 0.601757,20.0 14.0 20.0 31.0 24.5 21.5 26.5 27.0 24.5 12.5 9.5 0.5 23.0 23.0 16.0 10.5 8.5 4.5 2.0 24.5 15.5 10.5 11.5 24.0 18.5 18.0 10.0,20.0 14.0 20.0 31.0 24.5 21.5 26.5 27.0 24.5 12.5 9.5 0.5 23.0 23.0 16.0 10.5 8.5 4.5 -99900.0 24.5 15.5 10.5 11.5 24.0 18.5 18.0 10.0,1.00167 1.00167 0.971667 0.998333 0.995 1.005 0.998333 0.998333 0.998333 1.00167 0.995 1.01833 0.995 0.998333 0.998333 1.00167 1.01833 1.03167 0.975 1.00167 0.971667 1.02167 1.02833 0.991667 1.01167 0.935 1.05167,-2.5 -99900.0 -8.5 -7.0 -6.5 -6.5 5.0 8.0 6.5 8.0 8.0 -99900.0 3.5 5.0 6.5 4.5 7.0 8.5 7.0 8.5 7.0 -99900.0 14.0 16.0 13.0 8.0 -99900.0,0.8125 0.875 0.75 0.5 -0.1875 0.875 -0.1875 -0.0625 0.125 -0.4375 -0.875 0.0 0.6875 0.6875 -0.25 0.1875 -1.0 0.5625 -0.375 -1.0 0.5 0.5 0.4375 0.0625 -0.8125 -0.75 3.375,-12.0907421774 -13.4793885769 -12.0082504584 -9.29633082148 -10.2785025167 -11.861671243 -9.80969546461 -9.79637896155 -10.5300318102 -12.8518421513 -13.1144151355 nan -11.3106297102 -11.3106297102 -12.188749837 -13.764937384 nan nan nan -9.73902718537 -12.8409490127 -13.9972426664 -13.7056999838 -10.6311046229 -11.234176235 -11.3706038945 -16.1469808785,1.87542272872 1.86413642918 1.83893156745 1.73840186215 1.51656225688 1.9291399104 1.50979630518 1.57736390723 1.64033953122 1.40652672406 1.30234960818 nan 1.83845212734 1.83845212734 1.47974483675 1.61380973729 nan nan nan 1.33198815823 1.7240401304 1.75588059052 1.70476989824 1.62076207745 1.33114764549 1.36545184101 3.05814361794,0.740131954007 0.755068594278 0.729534415861 0.665151885501 0.58707314981 0.762435463989 0.587413286634 0.592499198338 0.615217829541 0.574307804463 0.503393131026 nan 0.697587825951 0.697587825951 0.590412199235 0.657227175698 nan nan nan 0.50163793885 0.678721527698 0.693193685219 0.680952577125 0.627097967865 0.513654514951 0.513846502039 1.28806658006,0.0
204,52.0 43.0 33.0 23.0 14.0 4.0 44.0 4.0,21.0 21.0 21.0 21.0 21.0 21.0 9.0 9.0,15.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,12.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,6.0 6.0 8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.728661 0.299882 0.0158269 0.0786374 0.486637 0.0447441 0.0714284 0.0843052,15.0 9.5 6.0 13.0 10.5 13.5 13.0 12.5,15.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.848333 0.885 0.738333 0.871667 1.05167 0.871667 1.05167 0.911667,-99901.0 -99901.0 -99901.0 -99901.0 -99901.0 -99901.0 -99901.0 -99901.0,0.3125 2.125 3.8125 2.875 3.4375 3.9375 7.9375 4.0,-12.9115036356 nan nan nan nan nan nan nan,1.68433066622 nan nan nan nan nan nan nan,0.663013354679 nan nan nan nan nan nan nan,0.0
205,22.0 3.0 61.0 52.0 42.0 33.0 23.0 13.0 4.0,42.0 42.0 68.0 68.0 68.0 68.0 68.0 68.0 68.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,999.0 999.0 0.0158492 0.129976 0.0206158 0.0524237 0.0198182 0.0266529 0.0421424,5.5 8.5 13.5 9.5 14.0 13.0 16.5 12.5 17.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.855 0.791667 0.528333 0.338333 0.401667 0.618333 0.785 0.281667 0.495,-99901.0 -99900.0 7.5 10.5 9.0 10.5 4.0 9.0 6.5,-0.6875 -0.375 2.3125 -1.125 3.6875 -0.25 3.25 3.5625 7.0625,nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan,0.0
206,57.0 48.0 40.0 35.0 27.0 22.0 9.0 5.0 1.0,68.0 68.0 68.0 68.0 68.0 68.0 68.0 68.0 68.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0220642 0.03382 0.0702817 0.0624407 0.0436331 0.0200084 0.122857 0.0798911 0.0280125,-5.5 -5.0 -4.5 -3.5 -2.0 -6.0 -5.0 -1.5 -7.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.605 0.988333 1.05167 0.878333 0.878333 1.05167 0.951667 1.05167 0.988333,-99900.0 -99900.0 -99900.0 -99900.0 5.5 -99900.0 10.5 12.5 -99900.0,2.0 5.4375 4.125 2.8125 1.8125 5.25 4.1875 7.9375 0.6875,nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan,0.0
207,54.0 44.0 35.0 25.0 15.0 6.0,19.0 19.0 19.0 19.0 19.0 19.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.246722 0.0898635 0.0814688 0.195638 0.123608 0.19172,3.0 3.5 3.0 7.5 7.5 1.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.805 0.535 0.541667 0.685 0.768333 0.621667,-11.5 2.5 -4.5 -5.0 -1.0 -9.0,0.0 3.4375 3.8125 7.4375 3.0625 -0.8125,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
208,55.0 45.0 36.0 26.0 16.0 7.0,1.0 1.0 1.0 1.0 1.0 1.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0 0.0 0.0 0.0 0.0 0.0,15.0 -5.5 -6.0 11.5 10.0 -11.5,-99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0,0.981667 0.911667 0.585 0.455 0.931667 0.465,2.0 2.0 1.0 9.0 1.5 17.0,4.9375 2.25 2.0 2.0625 -6.75 4.3125,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
209,57.0 47.0 42.0 38.0 33.0 28.0 24.0 19.0 7.0 3.0 51.0 38.0 32.0 29.0 26.0 22.0 19.0 10.0,4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 86.0 86.0 86.0 86.0 86.0 86.0 86.0 86.0,9.0 18.0 19.0 24.0 16.5 8.5 10.5 11.0 15.0 17.0 -99900.0 -99900.0 -99900.0 16.0 24.0 17.5 -99900.0 -99900.0,-99900.0 21.5 19.0 24.5 19.0 -99900.0 13.5 10.0 13.0 14.0 -99900.0 21.5 -99900.0 20.0 22.0 -99900.0 -99900.0 -99900.0,8.0 9.0 9.0 9.0 7.0 8.0 9.0 11.0 9.0 9.0 8.0 9.0 8.0 8.0 9.0 9.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.540581 0.0 0.0 0.0 0.0 0.16707 0.229233 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 0.486936 0.175373 -99900.0 -99900.0 -99900.0 0.174916 0.219436 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 6.94116 3.08804 -99900.0 -99900.0 -99900.0 4.16426e-05 0.000102738 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,999.0 999.0 0.939686 0.967145 0.86616 0.730637 0.13986 999.0 0.344602 0.580353 999.0 0.978962 0.954991 0.9614 0.0 0.948277 999.0 999.0,9.0 18.0 19.0 24.0 16.5 8.5 10.5 11.0 15.0 17.0 13.5 16.5 15.5 16.0 24.0 17.5 15.0 17.5,9.0 18.0 19.0 24.0 16.5 8.5 10.5 11.0 15.0 17.0 -99900.0 -99900.0 -99900.0 16.0 24.0 17.5 -99900.0 -99900.0,0.988333 1.05167 1.00833 1.00833 1.03167 1.05167 1.05167 1.05167 1.025 1.01833 1.05167 1.05167 1.025 1.05167 1.015 1.05167 1.05167 1.04833,7.0 7.0 6.0 8.5 10.5 -99900.0 7.5 -99900.0 12.5 11.5 -99900.0 -99901.0 -99901.0 -99900.0 -99901.0 -99901.0 -99901.0 -99900.0,-0.1875 1.8125 0.375 0.25 1.125 -0.25 1.0 1.4375 -0.25 0.5 0.4375 0.9375 1.625 1.3125 0.1875 1.0 -1.0 -0.1875,nan -13.2617826965 -12.0067081612 -10.6877278003 -13.1105944714 nan -14.3636962601 -14.5231100288 -12.4695870958 -12.5496607867 nan nan nan -13.3074162879 -10.6877278003 -12.8130319316 nan nan,nan 2.30486993152 1.70994792132 1.62035656346 1.98542034098 nan 1.91987687579 2.0344757531 1.4989568407 1.76126671275 nan nan nan 2.01906652981 1.62035656346 1.95917733616 nan nan,nan 0.908335146858 0.675394934836 0.629089206062 0.79916122727 nan 0.76756417133 0.84878556601 0.591528466172 0.679405924599 nan nan nan 0.818081494573 0.629089206062 0.757952587099 nan nan,3.8
210,19.0,75.0,-99900.0,-99900.0,8.0,0.0,0.0,-99900.0,-99900.0,999.0,16.5,-99900.0,1.05167,-99900.0,-0.6875,nan,nan,nan,0.0
211,15.0 6.0 58.0 54.0 51.0 47.0 43.0 39.0 35.0 31.0 27.0 23.0 19.0 15.0 11.0 5.0 1.0,15.0 15.0 74.0 74.0 74.0 74.0 74.0 74.0 74.0 74.0 74.0 74.0 74.0 74.0 74.0 74.0 74.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 -99900.0 0.0 0.0 0.0 0.0 -99900.0 0.0 -99900.0 0.0 -99900.0 -99900.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0 0.0 0.163488 0.0457025 0.0589374 0.183544 999.0 0.0874713 0.143202 0.0877992 0.0371438 0.20166 0.0175196 0.0899614 0.0912912 0.192651 0.104069,13.0 15.5 0.5 -1.5 5.0 3.0 -2.0 3.0 -5.0 2.0 -0.5 7.5 -4.5 -0.5 -1.0 3.0 8.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,1.05167 1.01833 0.945 0.375 0.565 0.631667 0.835 0.385 0.331667 0.781667 0.481667 0.928333 0.521667 0.621667 0.345 0.651667 0.591667,-0.5 -2.5 -3.5 -3.5 -3.5 -5.5 -5.5 -2.5 -7.0 -0.5 -6.0 -10.0 5.5 -2.5 -6.5 -13.0 -3.5,-0.0625 0.25 2.9375 -1.5625 7.25 5.0625 -5.375 -7.875 -2.5 5.375 -0.8125 -2.0625 0.0 0.875 -1.25 6.5 5.6875,nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,0.0
